fridge_slug,model_number,mapped_filter_slugs,classification,evidence_paths,blockers,recommended_action
frigidaire-fghd2365tf,FGHD2365TF,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghd2368tf,FGHD2368TF,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fghn2868pf,FGHN2868PF,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fgsc2335lb,FGSC2335LB,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fgsc2335td,FGSC2335TD,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fgsc2335td2,FGSC2335TD2,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fgsc2335te,FGSC2335TE,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fgsc2335te3,FGSC2335TE3,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fgsc2335tf,FGSC2335TF,eptwfu01,PROVEN_CORRECT,data/manual-evidence/refrigerator/frigidaire-fgsc2335tf.json,,Safe for factory scaling subject to page quality gate and buy-path gates.
frigidaire-fgsc2335tf2,FGSC2335TF2,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fgsc2335tf3,FGSC2335TF3,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fgsc2335tf4,FGSC2335TF4,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fgsc2335ts,FGSC2335TS,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fgsc2335tw,FGSC2335TW,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fgsc2335tw2,FGSC2335TW2,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fgsc2345tf,FGSC2345TF,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fpru19f8re,FPRU19F8RE,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-fpru19f8rf,FPRU19F8RF,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-frfs2613as,FRFS2613AS,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-frfs2623as,FRFS2623AS,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-frfs2823as,FRFS2823AS,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-frfs2823aw,FRFS2823AW,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-frss2333as,FRSS2333AS,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-frss2623as,FRSS2623AS,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-frss2623aw,FRSS2623AW,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-glrsf2663ad,GLRSF2663AD,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-glrsf2663af,GLRSF2663AF,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-glrsf2663af2,GLRSF2663AF2,eptwfu01|frig-242294502,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-glrsf2663af3,GLRSF2663AF3,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-glrsf2663af4,GLRSF2663AF4,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-glrsf2663as,GLRSF2663AS,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-grfc2353af,GRFC2353AF,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-grfc2353as,GRFC2353AS,frig-242086201|ultrawf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-grfs2633af,GRFS2633AF,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-grfs2833af,GRFS2833AF,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-grfs2873af,GRFS2873AF,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-grfs2873as,GRFS2873AS,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-lfhb2741pe,LFHB2741PE,fppwfu01,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-lfhb2741pf,LFHB2741PF,frig-242017801|frig-242086201|purepour|ultrawf|wf3cb|wfcb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
frigidaire-lfhb2741ps,LFHB2741PS,wf2cb,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-cfe28tshss,CFE28TSHSS,xwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-cfe29uskss,CFE29USKSS,xwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-cwe19tslss,CWE19TSLSS,opfg3f|pfmwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-cwe23sshbb,CWE23SSHBB,smartwater-mwfp,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-cwe23sshss,CWE23SSHSS,xwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-cwe23sshww,CWE23SSHWW,gswf|gswf2,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-cye22tp2ms1,CYE22TP2MS1,xwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gde21eskss,GDE21ESKSS,xwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfd28gslbb,GFD28GSLBB,rpwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfd28gslss,GFD28GSLSS,xwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfd28gslww,GFD28GSLWW,xwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe24jgkbb,GFE24JGKBB,opfg3f,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe24jgkbww,GFE24JGKBWW,smartwater-mwfp,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe24jgkww,GFE24JGKWW,gswf|gswf2|smartwater-mwfp,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe24jskfss,GFE24JSKFSS,rpwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe26jymkbb,GFE26JYMKBB,rpwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe26jymkfs,GFE26JYMKFS,mwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe26jymkww,GFE26JYMKWW,smartwater-mwfp,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe27jmkes,GFE27JMKES,gswf|gswf2,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe28gelds,GFE28GELDS,opfg3f|pfmwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe28ggkww,GFE28GGKWW,xwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe28gmkbb,GFE28GMKBB,gswf|gswf2,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe28gmkes,GFE28GMKES,rpwfe,PROVEN_CORRECT,data/manual-evidence/refrigerator/ge-gfe28gmkes.json,,Safe for factory scaling subject to page quality gate and buy-path gates.
ge-gfe28gmkww,GFE28GMKWW,xwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe28gskbb,GFE28GSKBB,opfg3f,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe28gskes,GFE28GSKES,gswf|gswf2,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe28gskss,GFE28GSKSS,rpwfe,PROVEN_CORRECT,data/manual-evidence/refrigerator/ge-gfe28gskss.json,,Safe for factory scaling subject to page quality gate and buy-path gates.
ge-gfe28gskww,GFE28GSKWW,xwf|xwfe,WRONG_PART_RISK,,confusion:XWF vs XWFE (GE RFID shell mismatch),Remove wrong-family compat rows or capture model-specific proof for the correct family only.
ge-gfe28gynbb,GFE28GYNBB,xwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe28gynes,GFE28GYNES,xwf|xwfe,WRONG_PART_RISK,,confusion:XWF vs XWFE (GE RFID shell mismatch),Remove wrong-family compat rows or capture model-specific proof for the correct family only.
ge-gfe28gynfs,GFE28GYNFS,rpwfe,PROVEN_CORRECT,data/manual-evidence/refrigerator/ge-gfe28gynfs.json,,Safe for factory scaling subject to page quality gate and buy-path gates.
ge-gfe28gynww,GFE28GYNWW,rpwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe28hmkbb,GFE28HMKBB,opfg3f,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe28hmkes,GFE28HMKES,mswf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe28hmkww,GFE28HMKWW,gswf|gswf2,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gfe28hskss,GFE28HSKSS,gswf|gswf2|smartwater-mwfp,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gie18gsnarss,GIE18GSNARSS,rpwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gie21gsnerss,GIE21GSNERSS,xwf|xwfe,WRONG_PART_RISK,,confusion:XWF vs XWFE (GE RFID shell mismatch),Remove wrong-family compat rows or capture model-specific proof for the correct family only.
ge-gne25jmkbb,GNE25JMKBB,opfg3f|pfmwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne25jmkes,GNE25JMKES,xwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne25jmkww,GNE25JMKWW,gswf|gswf2,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne25jskss,GNE25JSKSS,opfg3f,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne27esmss,GNE27ESMSS,xwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne27fskss,GNE27FSKSS,xwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne27fsnss,GNE27FSNSS,xwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne27jmkbs,GNE27JMKBS,opfg3f,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne27jsmbb,GNE27JSMBB,xwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne27jsmss,GNE27JSMSS,rpwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne27jsmww,GNE27JSMWW,mswf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne27jstss,GNE27JSTSS,gswf|gswf2|xwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne27jymbb,GNE27JYMBB,opfg3f|smartwater-mwfp,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne27jymfs,GNE27JYMFS,mwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne27jymww,GNE27JYMWW,xwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne29gskbb,GNE29GSKBB,xwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne29gskss,GNE29GSKSS,opfg3f,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne29gskww,GNE29GSKWW,rpwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gne29gymkfs,GNE29GYMKFS,xwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gsc25frshss,GSC25FRSHSS,gswf|gswf2,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gse25gshss,GSE25GSHSS,xwfe,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
ge-gse25hskss,GSE25HSKSS,gswf|gswf2|xwf,LIKELY_CORRECT_NEEDS_EVIDENCE,,,Capture official manufacturer filter_specification evidence before scaling.
